"Mês/Ano";"Ação Orçamentária";"Programa Orçamentário";"Função";"Tipo de Favorecido";"UF";"Município";"Valor Transferido";
"03/2014";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"MONTE DAS GAMELEIRAS";"R$ 2.642,42";
"02/2014";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"CARNAUBAIS";"R$ 7.233,55";
"01/2014";"0E53 - AQUISICAO DE VEICULOS PARA O TRANSPORTE ESCOLAR DA EDUCACAO BASICA - CAMINHO DA ESCOLA";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"SERRA DE SÃO BENTO";"R$ 684.780,00";
"02/2014";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"PEDRO VELHO";"R$ 10.336,14";
"03/2014";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"SÃO MIGUEL DO GOSTOSO";"R$ 10.203,76";
"03/2014";"8744 - APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE)";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"PARNAMIRIM";"R$ 256.302,00";
"02/2014";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"SEVERIANO MELO";"R$ 3.601,25";
"02/2014";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"PENDÊNCIAS";"R$ 9.158,30";
"03/2014";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"BARCELONA";"R$ 3.505,55";
"02/2014";"0E36 - COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFISSIONAIS DA EDUCACAO - FUNDEB";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"RN";"GUAMARÉ";"R$ 14.099,01";
